anon_id,claimed_tv_genre,claimed_book_escape_genre,claimed_book_default_genre,claimed_music_genre,top_behavioral_genre,behavioral_genres,media_type_signals,total_genre_signal_count
d554954c-acd6-4136-bd37-e720ad15eb33,,,,,,,book (1.00),0
d71289ab-ddfe-4289-b561-78d3bb7794b3,,,,,,,,0
d8e333c1-3cd3-482b-8a57-a32270d03d3e,,,,,historical,"historical (0.67); drama (0.56); religion (0.33); thrillers (0.22); history (0.22); war (0.22); family (0.22); fantasy (0.22); romance (0.22); victorian (0.22); epistolary (letters, diaries, etc.) (0.22); letters (0.22); christianity (0.22); world war ii & holocaust (0.11); coming of age (0.11)",book (1.00); movie (0.89); podcast (0.39),34
d9848c67-a520-4e60-819e-958834038a26,,,,,,,,0
da467a4b-d188-492b-ac4b-ebd0b265aeb7,,,,,drama,drama (0.41); mystery (0.20),tv (1.00); movie (0.20); music (0.20),2
da624258-ecec-4a73-b0a0-22062b81b7c3,,,,,adventure,adventure (1.00); science fiction (1.00); drama (1.00),movie (1.00),3
db8dd23b-bfa8-482c-9c2b-005841614eab,,,,,,,tv (1.00),0
dcbf7e94-7f07-45d3-9007-ebcecb271069,,,,,adventure,adventure (0.34); science fiction (0.34); family (0.17); action (0.17); comedy (0.17); animation (0.17),movie (1.00); book (0.17),6
dd4e2f47-ae3f-4ea0-99d6-e28871d059f4,,,,,,,,0
dd702302-8e1a-4184-9323-909edd21b5ef,,,,,drama,drama (0.55); comedy (0.36); thriller (0.18); war & politics (0.18); reality (0.18),tv (1.00); mixed (0.18); movie (0.18),5
de28a949-4f22-4a3e-a7f4-7c0a90f8c07a,,,,,,,,0
de8b2fcd-c83b-4816-8678-8015ae5ee07d,,,,,,,,0
e20fdea1-26b2-4102-b6be-200343bbea10,,,,,,,,0
e41a976a-128b-4412-b080-8fc0c1b3d1d0,,,,,,,,0
e56adc68-681a-40b2-8bba-8950737dbec0,,,,,,,,0
e599ddbe-e9c9-487b-b790-7c7c8c2cf1f8,,,,,,,,0
e62d3664-460c-43b0-ad1a-82393f278027,,,,,,,,0
e872d37d-ddc5-40ca-b101-4aed63e4ff7c,,,,,comedy,comedy (0.24); adventure (0.20); fantasy (0.20); drama (0.16); science fiction (0.12); family (0.08); romance (0.08); crime (0.08); action (0.08); thrillers (0.04); suspense (0.04); after shows (0.04); reality (0.04); tv & film (0.04); tv reviews (0.04),movie (1.00); book (0.56); podcast (0.26); tv (0.22); music (0.06); mixed (0.04),20
e92ee57c-52fb-44d7-886c-4c78c1a3c5ab,,,,,,,,0
ebb151df-a001-42d1-b711-bb45b9af292f,,,,,,,,0
ec17bdff-9268-4505-97a9-007447556ad5,,,,,,,book (1.00),0
eccc6544-cfea-40cd-8068-1c703aae1d0a,,,,,,,,0
f0ca9868-a1e9-4d94-87cd-ecfbe9dcda91,,,,,,,,0
f2245c7b-f93b-4f11-8ceb-5b4f9c334f6c,,,,,drama,drama (0.15); action & adventure (0.09); sci-fi & fantasy (0.09); mystery (0.07); comedy (0.07); crime (0.07); thriller (0.04); animation (0.02); action (0.02),movie (1.00); tv (0.93); book (0.50); music (0.10),9
f57f8e39-5e94-44bb-8cca-99d5fc3b08cf,,,,,,,,0
f9a1a4c0-ef7d-40ed-b101-289fa5b5a4e8,,,,,,,,0
fa6d73af-da96-494b-b8ee-33d059bed7d5,Comedy or sitcoms,Fantasy,Fantasy,Country,fantasy,fantasy (0.10); comedy (0.08); drama (0.08); thrillers (0.07); crime (0.06); action & adventure (0.05); humorous (0.05); mystery (0.04); mystery & detective (0.03); medical (0.03); women sleuths (0.03); suspense (0.03); sci-fi & fantasy (0.03); adventure (0.03); music (0.02),book (1.00); tv (0.51); movie (0.45); music (0.14); podcast (0.14); mixed (0.01); game (0.01); tv show (0.01),50
fafe14c2-c78a-4978-ac54-dfe270ca0caa,,,,,,,book (1.00); music (0.16); movie (0.14),0
fb16dfe5-6924-4f18-ae6e-2e2fcefc1724,,,,,,,,0
fcacf7ab-4d46-4399-931f-1e89ccf76f19,,,,,,,,0
ff399528-c198-447a-a848-a1866c44df3b,,,,,,,,0
ffb20b95-ff32-407d-b722-73218b93912b,,,,,,,,0
ffd752bb-8495-4317-b45a-45cc60205c9b,,,,,,,,0
